Zawód,Branża,Min,Max,Trend,TrendProc,Zapotrzebowanie
Office Manager,admin_biurowe,8000,13000,wysokie,11,wysokie
Archiwista,admin_biurowe,4500,5800,niskie,-3,niskie
Data Entry Clerk,admin_biurowe,4000,5200,niskie,-5,niskie
Tłumacz,admin_biurowe,5500,8000,umiarkowane,2,umiarkowane
Specjalista ds. zakupów,admin_biurowe,6500,9000,wysokie,6,wysokie
Agent nieruchomości,nieruchomosci,5000,10000*,bardzo wysokie,15,bardzo wysokie
Zarządca nieruchomości,nieruchomosci,7000,11000,wysokie,12,wysokie
Wycena nieruchomości,nieruchomosci,8000,13000,wysokie,10,wysokie
Specjalista ds. wynajmu,nieruchomosci,5500,8000,wysokie,9,wysokie
Home Stager,nieruchomosci,4500,7000,umiarkowane,14,umiarkowane
Inspektor budowlany,nieruchomosci,9000,15000,wysokie,6,wysokie
Pośrednik kredytowy,nieruchomosci,6000,12000,bardzo wysokie,11,bardzo wysokie
Pracownik ochrony obiektu,nieruchomosci,3800,4800,umiarkowane,0,umiarkowane
Konserwator budynków,nieruchomosci,5000,6500,umiarkowane,3,umiarkowane
Developer,nieruchomosci,12000,20000,bardzo wysokie,18,bardzo wysokie
Specjalista ds. ochr. środ.,ochrona_srodowiska,6500,11000,bardzo wysokie,14,bardzo wysokie
Audytor energetyczny,ochrona_srodowiska,8000,13000,bardzo wysokie,16,bardzo wysokie
Inspektor ochrony środ.,ochrona_srodowiska,7000,10000,wysokie,7,wysokie
Leśnik,ochrona_srodowiska,5000,7000,umiarkowane,0,umiarkowane
Technik oczyszczania wody,ochrona_srodowiska,4800,6500,wysokie,4,wysokie
Pracownik gosp. odpadami,ochrona_srodowiska,4500,6000,wysokie,3,wysokie
Inżynier ekolog,ochrona_srodowiska,8000,14000,bardzo wysokie,15,bardzo wysokie
Architekt krajobrazu,ochrona_srodowiska,4800,7000,umiarkowane,5,umiarkowane
Geolog,ochrona_srodowiska,7000,12000,wysokie,6,wysokie
Konsultant ESG,ochrona_srodowiska,10000,18000,bardzo wysokie,22,bardzo wysokie
Programista Embedded,IT,9000,15000,bardzo wysokie,10,bardzo wysokie
Projetant UX/UI,IT,8000,14000,wysokie,12,wysokie
Monter rusztowań,budownictwo,6200,9500,wysokie,9,wysokie
Kierownik projektu budowlanego,budownictwo,10000,16000,bardzo wysokie,8,bardzo wysokie
Architekt wnętrz,budownictwo,5500,10000,wysokie,6,wysokie
Geodeta,budownictwo,6000,10000,wysokie,5,wysokie
Nauczyciel języka angielskiego,edukacja,5800,9000,wysokie,8,wysokie
Trener / Szkoleniowiec,edukacja,7000,12000,wysokie,9,wysokie
Nauczyciel przedmiotów zawodowych,edukacja,6500,9500,wysokie,7,wysokie
Wykładowca akademicki,edukacja,7000,12000,umiarkowane,5,umiarkowane
Pedagog specjalny,edukacja,5800,8500,bardzo wysokie,12,bardzo wysokie
Doradca podatkowy,finanse,7000,12000,wysokie,9,wysokie
Analityk finansowy,finanse,8000,14000,wysokie,10,wysokie
Specjalista ds. controllingu,finanse,9000,15000,wysokie,8,wysokie
Księgowy,finanse,5500,9000,wysokie,6,wysokie
Manager restauracji,gastronomia,5000,8500,wysokie,9,wysokie
Dietetyk,gastronomia,5000,9000,wysokie,10,wysokie
Dostawca jedzenia,gastronomia,3500,5000,umiarkowane,2,umiarkowane
Sommelier,gastronomia,4500,8000,umiarkowane,5,umiarkowane
Przedstawiciel handlowy,handel,5000,10000,wysokie,10,wysokie
Kierownik sklepu,handel,5500,10000,wysokie,9,wysokie
Analityk rynku,handel,7000,12000,wysokie,8,wysokie
Specjalista ds. zakupów,handel,6000,11000,wysokie,12,wysokie
Kasjer / sprzedawca,handel,4200,5500,umiarkowane,3,umiarkowane
Spedytor międzynarodowy,logistyka,7000,12000,bardzo wysokie,12,bardzo wysokie
Analityk logistyczny,logistyka,6500,11000,wysokie,10,wysokie
Koordynator transportu,logistyka,5500,8500,wysokie,9,wysokie
Pracownik magazynu,logistyka,4200,5500,wysokie,5,wysokie
Specjalista ds. łańcucha dostaw,logistyka,8000,14000,bardzo wysokie,15,bardzo wysokie
Specjalista SEO,marketing,6000,10000,bardzo wysokie,15,bardzo wysokie
Grafik komputerowy,marketing,5000,9000,wysokie,8,wysokie
Specjalista e-commerce,marketing,6500,12000,bardzo wysokie,15,bardzo wysokie
Analityk marketingu,marketing,7000,12000,bardzo wysokie,10,bardzo wysokie
Ratownik medyczny,medycyna,5500,8500,bardzo wysokie,12,bardzo wysokie
Fizjoterapeuta,medycyna,6000,11000,bardzo wysokie,14,bardzo wysokie
Diagnosta laboratoryjny,medycyna,5000,8500,bardzo wysokie,13,bardzo wysokie
Opiekun medyczny,medycyna,4800,7500,bardzo wysokie,12,bardzo wysokie
Sanitariusz,medycyna,4200,5400,wysokie,5,wysokie
Spawacz MAG,produkcja,6000,9000,bardzo wysokie,15,bardzo wysokie
Technolog produkcji,produkcja,6500,11000,wysokie,10,wysokie
Kontroler jakości,produkcja,5000,8000,wysokie,8,wysokie
Lakiernik,produkcja,5500,7000,wysokie,5,wysokie
Kierowca kat. C+E,transport,6000,9000,bardzo wysokie,12,bardzo wysokie
Kurier,transport,4500,6500,wysokie,10,wysokie
Dyspozytor transportu,transport,5000,7500,wysokie,8,wysokie
Pilot wycieczek,transport,4500,6000,umiarkowane,3,umiarkowane
Mechanik samochodowy,transport,5500,9000,bardzo wysokie,10,bardzo wysokie
Elektryk,usługi,6000,10000,bardzo wysokie,12,bardzo wysokie
Hydraulik,usługi,6000,9000,bardzo wysokie,10,bardzo wysokie
Monter instalacji sanitarnych,usługi,5500,8000,wysokie,8,wysokie
Sprzątaczka,usługi,4200,5500,umiarkowane,3,umiarkowane
